"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"CONCOCT_82.faa_10013_pilon_3",0,0,0,0,2.12327340375621,0,0,0.719371917070661,0,0,0,0,0,0,0,0,0.432145604470798,1.82572895589795
"CONCOCT_82.faa_10013_pilon_5",0,0,0,2.61442192063788,1.69504762890053,0,0,1.55551936629076,1.50613640403879,0,0,0,0.953965788686484,1.60439220726178,1.41150089630791,0,2.16748221456815,0
"CONCOCT_82.faa_10367_pilon_1",0,0,0,0.89061241768728,0,0,4.08961382185495,0.719371917070661,1.50613640403879,0,1.21560716275037,0,0,0.748654790379204,0,0,0,0
"CONCOCT_82.faa_10367_pilon_2",1.16612939644834,2.16471388338489,2.69159115143465,0,1.08334129315782,1.10926367049434,0,2.0814505584386,0,2.56536626499148,3.15935631968688,1.97773283694981,1.52325124426077,1.8956522544525,0.871897903140548,1.2314895633007,1.26120270355195,2.60637625067598
"CONCOCT_82.faa_10731_pilon_6",0,0,0,1.43718826763287,0,1.10926367049434,0,1.19719241713047,0,0,0,0,0.953965788686484,0,0,0,0,0
"CONCOCT_82.faa_10854_pilon_1",0,0,0,0,0,0,0,0.719371917070661,0,0,0,0,0,0,1.41150089630791,0,1.03401571032744,0
"CONCOCT_82.faa_10854_pilon_2",0,0,0,1.43718826763287,0,0,0,0,0,0,0,0,0,0.748654790379204,0.871897903140548,0,0.432145604470798,0
"CONCOCT_82.faa_10917_pilon_1",0,0,0,3.49153957687328,3.14283248677381,4.52291869101396,0,3.86549987274988,0,0,0,0,3.08704245048835,3.79953111466363,1.80331238162575,0,3.79927715448879,2.26822211298265
"CONCOCT_82.faa_10917_pilon_2",0,0,0,5.17042509675328,4.74068859645646,5.33449940600563,0,6.03664637295636,2.22680645047752,0,0,1.30414194380236,5.15688383605801,5.94345398053731,4.7405030765117,0,6.45878285442595,5.54866760639151
"CONCOCT_82.faa_10917_pilon_3",0,0,0,2.61442192063788,2.72130471182477,2.76272630252297,0,0.719371917070661,0,0,0,0,1.93038587171464,3.0844860404227,1.80331238162575,0,4.03267417338354,1.18423609203517
"CONCOCT_82.faa_10917_pilon_4",0,0,0,3.78758336474695,4.5471263581839,4.7258399738875,0,2.0814505584386,0,0,0,0,4.37023398922475,3.99683694502199,2.36466882503875,0,4.26005670753078,0
"CONCOCT_82.faa_10917_pilon_5",0,0,0,0,0,0,0,3.73149136592555,0,0,0,0,0,0,0,0,0,1.82572895589795
"CONCOCT_82.faa_10944_pilon_2",0,0,0,0,0,0,0,1.8423192975893,0,0,0,0,0,0,0,0,0,1.82572895589795
"CONCOCT_82.faa_10944_pilon_4",0,0,0,0,1.08334129315782,1.10926367049434,0,0,0,0,0,0,0,1.8956522544525,0,0,1.26120270355195,0
"CONCOCT_82.faa_10987_pilon_2",0,0,0,2.80275998465958,1.08334129315782,2.49298640254454,0,2.0814505584386,0,0,0,0,0,1.23906242496683,2.11112324264683,0,0.764242021500327,0
"CONCOCT_82.faa_11036_pilon_1",0,0,0,0,0,0,0,2.62567276696752,0,0,0,0,0,0,0,0,0,1.82572895589795
"CONCOCT_82.faa_1130_pilon_2",0,0,0,0,1.08334129315782,0,0,0,0,0,0,0,0,0.748654790379204,0,0,1.45743328258943,0
"CONCOCT_82.faa_1130_pilon_9",0,0,0,0,1.08334129315782,0,0,0.719371917070661,0,0,0,0,0.953965788686484,1.23906242496683,0.871897903140548,0,1.92368530258176,0
"CONCOCT_82.faa_11358_pilon_8",0,0,0,0,0,0,0,0,0,0,0,0,0,1.8956522544525,1.41150089630791,0,1.45743328258943,0
"CONCOCT_82.faa_11364_pilon_7",0,0,0,0,1.08334129315782,0,0,1.19719241713047,0,0,0,0,0,0,0,0,0.432145604470798,1.18423609203517
"CONCOCT_82.faa_11560_pilon_1",0,0,0,0,0,1.10926367049434,0,0.719371917070661,0,0,0,0,0,0,0,0,1.45743328258943,0
