"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"vamb.1602.faa_10050_pilon_15",0,0,0,0,0,0,0,0,0,0,1.98784299895952,0,0,0,0,0,0.608914569033692,0
"vamb.1602.faa_10050_pilon_17",0,0,1.03578061200996,0,0,0,0,0,0,0,1.12867224095221,0,0,0,1.00758970901352,0,0.608914569033692,0
"vamb.1602.faa_10050_pilon_19",0,0,0,1.03578061200996,0,0,0,1.63247546327046,0,0,0,0,0,0,0,0,1.63247546327046,0
"vamb.1602.faa_10050_pilon_20",0,0,0,1.03578061200996,1.04412697049632,1.0525190399029,1.09376516213036,0,0,0,0.672006209813946,0,0,0,0,0,0.608914569033692,0
"vamb.1602.faa_10121_pilon_4",0,0,1.03578061200996,1.03578061200996,0,1.0525190399029,0,0,0,0,0,0,0,0,1.00758970901352,1.0645059968949,1.63247546327046,0
"vamb.1602.faa_10269_pilon_1",1.03578061200996,0,1.03578061200996,0,0,1.65457145054044,0,0,0,0,0,0,0,0,1.00758970901352,0,1.03578061200996,0
"vamb.1602.faa_10269_pilon_10",0,0,0,0,0,2.89625047814255,0,0,0,0,0,0,0,0,0,0,0.608914569033692,0
"vamb.1602.faa_10269_pilon_15",0,0,0,0,0,1.0525190399029,0,2.64411317258097,0,1.65457145054044,2.1889459639263,1.0645059968949,0,0,1.00758970901352,0,1.03578061200996,0
"vamb.1602.faa_10269_pilon_16",1.03578061200996,1.0525190399029,1.03578061200996,1.03578061200996,0,0,0,1.63247546327046,0,0,1.98784299895952,0,0,0,0,1.0645059968949,1.03578061200996,0
"vamb.1602.faa_10269_pilon_18",1.63247546327046,0,0,1.03578061200996,0,0,1.70867568883673,0,0,0,0.672006209813946,0,0,0,1.00758970901352,1.0645059968949,1.63247546327046,0
