"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"metabat2.32.faa_10211_pilon_2",1.45401885260109,1.8210354845294,0,0,2.31219120305475,1.17903219990751,0,1.06332936103739,1.5400964657383,0,1.09256687377207,0,0,1.10991676986902,1.12319736108469,1.22020843006423,1.08036746955116,1.08036746955116
"metabat2.32.faa_1027_pilon_2",0,1.47162604468526,0.967536357854817,0,0,0,2.09398117869249,0,0.966481957736429,0,0,0,0,0,0,0.735437147495214,1.08036746955116,0
"metabat2.32.faa_1027_pilon_5",0,1.8210354845294,1.54151325649827,0,1.21544421069598,0,1.06332936103739,0,1.94942631915964,0,0,0,0,0,0,1.58241418925243,1.08036746955116,0
"metabat2.32.faa_1027_pilon_6",0,1.18057663028283,0,2.24890005475701,0,1.17903219990751,0,1.06332936103739,0.966481957736429,1.10209267080875,0,0,1.1433757062937,0,1.74699374801741,0,1.08036746955116,0
"metabat2.32.faa_10335_pilon_2",0,0.591362910465934,0,0,0,0,0,0,1.5400964657383,1.10209267080875,0,0,0,0,1.12319736108469,0.735437147495214,0,0
"metabat2.32.faa_10335_pilon_3",1.45401885260109,2.77118800635279,0,0,1.21544421069598,1.81905365257649,0,1.66879859461953,0,0,0,1.09256687377207,0,2.16188634800723,0,1.22020843006423,0,0
"metabat2.32.faa_10335_pilon_4",0,0.591362910465934,1.54151325649827,0,0,0,0,0,0,0,0,0,0,0,0,0.735437147495214,1.08036746955116,0
"metabat2.32.faa_10335_pilon_5",0,1.18057663028283,1.54151325649827,1.1706094507086,0,0,0,1.06332936103739,0,0,0,1.70711059629005,0,0,0,0.735437147495214,0,0
"metabat2.32.faa_10335_pilon_6",0,1.18057663028283,0,0,0,1.17903219990751,0,0,0.966481957736429,0,0,0,0,0,0,0,0,0
"metabat2.32.faa_10432_pilon_1",2.82557320883131,2.71663179843557,1.54151325649827,0,0,0,0,0,2.52865850349453,1.10209267080875,0,0,0,0,0,1.22020843006423,0,0
"metabat2.32.faa_10517_pilon_1",2.63670704077414,1.18057663028283,0.967536357854817,0,0,0,0,1.06332936103739,1.5400964657383,0,0,2.13671432084255,1.1433757062937,0,0,0.735437147495214,0,0
"metabat2.32.faa_10517_pilon_2",2.16330663566241,2.26304061740462,0,0,0,1.17903219990751,1.66879859461953,1.06332936103739,0.966481957736429,0,1.09256687377207,2.13671432084255,1.1433757062937,0,0,1.58241418925243,1.69115411601062,0
"metabat2.32.faa_10517_pilon_5",0.902923220663657,2.10210420628404,0.967536357854817,0,0,0,0,0,0,0,0,1.09256687377207,0,0,0,0,1.08036746955116,0
"metabat2.32.faa_10517_pilon_6",0.902923220663657,0.325771747117276,0,0,0,0,0,0,0,0,0,0,0,1.10991676986902,0,1.22020843006423,0,0
"metabat2.32.faa_10517_pilon_7",0,1.8210354845294,0.967536357854817,1.1706094507086,0,0,1.06332936103739,1.06332936103739,0.966481957736429,0,0,1.09256687377207,1.1433757062937,1.10991676986902,0,0,0,1.08036746955116
