"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"metabat2.66.faa_10054_pilon_3",0,0,1.11898361138048,0,0,1.12849898213482,0,0,0,0,0,0.625846387632872,0,0,0,0,0,0
"metabat2.66.faa_11294_pilon_1",0,0.903031555899867,1.3576000766667,0,0,1.12849898213482,0,0,1.1773627183803,0,0,0.625846387632872,0,0,0,0,1.16193314388131,0
"metabat2.66.faa_11330_pilon_1",0,3.6217455973361,4.58785307524818,2.24133090366738,2.41905847495602,2.18869670320619,0,1.88755330250449,0,0,3.63804247726456,4.28288005579077,2.17602764763966,1.79909996969442,3.12086169681001,0,1.16193314388131,1.74152224665581
"metabat2.66.faa_12096_pilon_10",0,1.45416672852226,1.3576000766667,0,0,0,0,0,0,0,0,0.625846387632872,0,0,0,0,0,0
"metabat2.66.faa_12096_pilon_3",1.145719213554,4.4515270608689,5.66141003239486,2.57799852673054,2.41905847495602,3.39101046128125,1.33976476086768,2.67810431678929,0,2.06418520978331,3.42388334605537,5.83139424600912,3.00686366509192,2.57532711906548,2.27784688969431,0,1.79707152152244,0
"metabat2.66.faa_1216_pilon_12",0,0.521046362138519,0,0,0,0,0,0,0,0,1.10095944589845,1.39470487054361,0,0,0,0,0,0
"metabat2.66.faa_12615_pilon_2",0,0.903031555899867,1.3576000766667,0,0,0,0,1.23268282439392,1.81691067705262,0,0,1.66560354110244,0,0,0,0,0,0
"metabat2.66.faa_12627_pilon_9",0,0.521046362138519,1.3576000766667,0,0,0,0,0,0,0,1.44225848439911,1.06089941057523,0,0,0,0,0,1.74152224665581
"metabat2.66.faa_12721_pilon_7",1.49510469384778,0,0,0,0,0,0,0,0,0,1.44225848439911,0,0,0,0,0,0,0
"metabat2.66.faa_16041_pilon_5",0,1.2047585799921,0,0,0,1.12849898213482,0,0,0,0,0,0.625846387632872,0,1.16350856921194,0,0,0,1.11898361138048
"metabat2.66.faa_17520_pilon_9",0.683725214083669,1.2047585799921,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900817595837786,0,0
"metabat2.66.faa_1769_pilon_3",1.77615793842499,0.521046362138519,0.475755576715871,1.16528608917306,2.41905847495602,1.12849898213482,0,0,1.1773627183803,1.64215542013256,0.653047602847249,0,0,0,0,0,0,0
"metabat2.66.faa_1830_pilon_11",0,0,0.475755576715871,0,0,1.12849898213482,0,0,0,0,2.14890769436041,0.625846387632872,0,0,0,0,0,0
"metabat2.66.faa_18797_pilon_6",0,1.2047585799921,0.475755576715871,0,0,0,0,0,0,0,1.10095944589845,1.39470487054361,0,0,0,0,0,0
"metabat2.66.faa_20818_pilon_4",0,1.85198840310033,3.00569357042792,0,0,0,0,0,0,0,1.44225848439911,2.55778814703102,0,0,0,0,0,0
"metabat2.66.faa_21207_pilon_3",0,0,0,0,0,1.12849898213482,1.33976476086768,0,0,0,1.10095944589845,0,0,0,0,0,2.2365573734599,0
"metabat2.66.faa_21975_pilon_1",1.49510469384778,0.903031555899867,1.90092453447359,0,0,0,1.33976476086768,0,1.1773627183803,0,3.63804247726456,2.55778814703102,0,0,1.54832233342669,1.84854639934321,0,0
"metabat2.66.faa_21975_pilon_2",0,0,0.475755576715871,0,0,0,0,2.33631419501977,0,0,0,0,0,0,2.27784688969431,0,1.16193314388131,1.11898361138048
"metabat2.66.faa_22446_pilon_2",1.49510469384778,0.521046362138519,0.475755576715871,0,0,0,0,0,0,0,0,0,1.11970487429511,3.0772586633945,0,0,0,0
"metabat2.66.faa_22549_pilon_9",0,0,0.475755576715871,0,0,2.18869670320619,0,0,0,0,1.71806384961861,0,0,0,0,0,0,0
"metabat2.66.faa_22986_pilon_2",0,0,0,1.80138786195327,0,2.18869670320619,0,0,0,0,0,0,0,0,0,0,0,0
"metabat2.66.faa_4449_pilon_1",0,0.521046362138519,0,0,0,0,0,0,0,0,1.10095944589845,0.625846387632872,0,0,0,0,0,1.11898361138048
"metabat2.66.faa_4591_pilon_14",0,1.2047585799921,0.475755576715871,0,0,1.12849898213482,0,0,0,0,1.10095944589845,1.66560354110244,0,0,0,0,0,0
"metabat2.66.faa_5175_pilon_3",0,1.85198840310033,0,0,0,0,0,0,0,0,1.10095944589845,0.625846387632872,1.11970487429511,0,0,0,0,0
"metabat2.66.faa_5342_pilon_4",0,0,0.832924592466682,0,0,0,2.02226158758869,0,0,2.06418520978331,0,0,0,0,0,0,0,0
"metabat2.66.faa_7254_pilon_2",1.145719213554,0,0.475755576715871,0,0,0,0,0,0,0,0.653047602847249,0,1.11970487429511,0,0,0,0,1.11898361138048
"metabat2.66.faa_8516_pilon_1",0,0,0,0,0,0,0,1.88755330250449,0,0,0,0.625846387632872,0,1.16350856921194,0,0,1.16193314388131,0
"metabat2.66.faa_8972_pilon_7",0.683725214083669,3.67184616885986,3.42843168714479,0,1.66635184209166,2.18869670320619,0,1.88755330250449,0,1.04310584166034,3.70290305165184,4.43552210392656,2.50896116327154,1.16350856921194,1.54832233342669,0,1.79707152152244,1.11898361138048
