"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"vamb.1050.faa_10497_pilon_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.424919660758646,2.75348788038764,0,1.78803432389811,0
"vamb.1050.faa_10497_pilon_2",0,0,0,0,0,0,0,0,0,0,0,0,0.934350132119569,1.01969709245921,1.95297736128624,0,0,0
"vamb.1050.faa_10497_pilon_3",0,0,0,1.56046902259587,1.86263383742177,1.96998806293628,0,0,0,0,0,0,1.49674826291927,2.1456700905404,1.95297736128624,0,0,0
"vamb.1050.faa_10497_pilon_4",0,0,0,0.722319464055527,0,0.5717008789599,0,0,0,0,0,0,0.934350132119569,0.752744723328803,1.60939274112899,0,0,0
"vamb.1050.faa_10497_pilon_5",1.14515862250732,0,0,0.722319464055527,0,0,0,0,0,0,0,0,0.934350132119569,1.24488155894153,0.495947627089601,0,0,0
"vamb.1050.faa_10497_pilon_6",0,0,0,2.63195616575064,0,1.55831622112655,0,1.21449994160931,0,0,0,1.27444555969857,2.47382536155273,1.61116597966655,4.76849098709891,0,3.72979223680993,0
"vamb.1050.faa_106_pilon_10",0,0,0,3.51062249352325,4.01445186728258,2.42666010969794,0,0,0,0,0,0,3.33775334517005,3.9109635692667,3.26531417418055,0,0,0
"vamb.1050.faa_106_pilon_11",0,0,0,3.51062249352325,3.89168425787285,2.13878943146264,0,0,0,0,0,0,3.33775334517005,3.94344364208886,3.06771473212569,0,0,0
"vamb.1050.faa_106_pilon_12",0,4.5943929064738,2.61971062825877,8.0453890025204,7.50996342509642,5.00547126435447,4.30059247097736,4.6305720545104,0,1.38169572394486,2.06196909726242,1.27444555969857,7.79688450007167,7.59351238085408,6.64788602005696,4.45811324553239,4.86861588075627,3.19504390729228
"vamb.1050.faa_106_pilon_13",0,0,0,1.20142357419004,1.57411721043064,0.5717008789599,1.28626253799781,0,0,0,0,0,2.06646936952362,1.76446683663963,0.864329612824854,0,0,0
"vamb.1050.faa_106_pilon_2",0,1.72933060871317,0,0.722319464055527,0,1.55831622112655,0,0,0,0,0,0,0,0.752744723328803,2.09827607507103,0,1.154920285384,0
"vamb.1050.faa_106_pilon_4",0,0,0,0.722319464055527,0,1.96998806293628,0,0,0,0,0,0,0,0,1.79138925733589,0,0,0
"vamb.1050.faa_106_pilon_5",0,0,0,0,0,1.55831622112655,0,0,0,0,0,0,1.49674826291927,1.76446683663963,1.40107723186998,0,0,0
"vamb.1050.faa_106_pilon_6",0,0,0,0,0,0.980061571350091,0,0,0,0,0,0,2.7911248433458,2.1456700905404,2.09827607507103,0,0,0
"vamb.1050.faa_106_pilon_7",0,0,1.1931831614893,0,0,0.980061571350091,0,0,0,0,0,1.27444555969857,1.7126283647097,1.61116597966655,3.82047477054654,0,0,0
"vamb.1050.faa_106_pilon_8",0,0,0,0.722319464055527,0,0.5717008789599,0,0,0,0,0,0,0.541529514223136,0.752744723328803,0,0,0,0
"vamb.1050.faa_106_pilon_9",0,0,0,2.47218275060438,1.2131014586927,0.5717008789599,0,0,0,0,0,0,0.934350132119569,1.01969709245921,1.95297736128624,0,0,0
"vamb.1050.faa_10633_pilon_2",0,0,0,1.84772820108536,0,0,0,0,0,0,0,0,0.934350132119569,0,0,0,0,0
"vamb.1050.faa_10633_pilon_3",0,0,0,0.722319464055527,0,0.5717008789599,0,0,0,0,0,0,0.934350132119569,1.01969709245921,0.495947627089601,0,0,0
"vamb.1050.faa_10633_pilon_4",0,0,0,0.722319464055527,0,0,0,0,0,0,0,0,1.24278199880345,0.424919660758646,0.495947627089601,0,0,0
