"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"CONCOCT_70.faa_11345_pilon_11",0,1.09245853766689,0,1.7619546913099,0,0,0,0,0,1.04636869140424,0.655633213225693,0,0,0,0,0,0.730355897317133,0
"CONCOCT_70.faa_11345_pilon_12",1.57599752834457,0,2.17891959640784,1.1347378980212,0,0,0,1.80905088642049,0,0,2.48605986539022,1.07529208677674,0,1.10474890229498,1.1347378980212,1.10474890229498,1.57392945564315,0
"CONCOCT_70.faa_11345_pilon_17",0,0,0.770303575324523,1.1347378980212,0,0,0,0,0,0,1.10474890229498,1.07529208677674,0,0,0,0,0,0
"CONCOCT_70.faa_11345_pilon_18",0.731593298549557,0,0,1.1347378980212,0,0,0,0.875548598616144,1.12222683418634,1.04636869140424,1.44674410040362,1.07529208677674,0,0,0,0,0.730355897317133,0
"CONCOCT_70.faa_11345_pilon_19",1.21471157508806,1.09245853766689,1.26978560385913,0,1.12222683418634,0,0,2.11730355803818,0,1.04636869140424,1.44674410040362,2.44057873898336,0,0,1.7619546913099,0,1.21294070081374,1.10474890229498
"CONCOCT_70.faa_11345_pilon_2",0,1.70696907814939,1.26978560385913,2.1976641338556,1.7457339535929,0,0,0.875548598616144,0,1.04636869140424,1.10474890229498,1.68450336557824,1.72300316566225,0,0,1.10474890229498,1.86242887219484,0
"CONCOCT_70.faa_11345_pilon_3",1.21471157508806,0,1.26978560385913,0,0,0,0,0,0,0,0.655633213225693,1.68450336557824,0,0,0,0,0,0
"CONCOCT_70.faa_11345_pilon_4",0,0,0,0,0,0,0,0,0,0,0.655633213225693,0,0,0,0,0,1.86242887219484,0
"CONCOCT_70.faa_11345_pilon_7",1.8646863788572,0,1.64010536378829,0,1.12222683418634,1.1347378980212,0,1.41652157709458,0,1.04636869140424,1.44674410040362,1.68450336557824,0,0,1.1347378980212,0,1.57392945564315,0
"CONCOCT_70.faa_11345_pilon_8",1.21471157508806,0,0,0,0,1.1347378980212,0,0,0,0,0.655633213225693,0,0,0,1.1347378980212,0,0,0
"CONCOCT_70.faa_11345_pilon_9",0.731593298549557,0,0,0,0,0,0,0,0,1.64646205452638,1.10474890229498,1.07529208677674,0,0,1.1347378980212,0,0,0
"CONCOCT_70.faa_13084_pilon_11",1.21471157508806,0,0,0,0,0,0,0,0,0,1.44674410040362,0,0,0,0,1.10474890229498,0,0
"CONCOCT_70.faa_13084_pilon_18",0.731593298549557,0,1.64010536378829,1.1347378980212,0,0,0,0,0,1.64646205452638,0,1.68450336557824,0,0,1.1347378980212,0,0,0
"CONCOCT_70.faa_13084_pilon_20",1.21471157508806,0,0,0,0,0,0,0,0,1.64646205452638,0.655633213225693,0,0,0,0,0,0.730355897317133,0
"CONCOCT_70.faa_13084_pilon_22",0,0,1.26978560385913,0,1.12222683418634,1.1347378980212,0,0,0,1.04636869140424,1.10474890229498,0,0,0,0,0,0,0
"CONCOCT_70.faa_13084_pilon_38",1.57599752834457,0,1.26978560385913,0,1.12222683418634,0,0,0,0,1.04636869140424,0.655633213225693,0,0,0,0,0,2.10273926680344,0
"CONCOCT_70.faa_13084_pilon_39",1.8646863788572,1.09245853766689,1.26978560385913,0,0,1.1347378980212,0,0,0,1.04636869140424,0.655633213225693,1.07529208677674,0,0,0,0,0,0
"CONCOCT_70.faa_13084_pilon_43",0.731593298549557,1.09245853766689,0.770303575324523,0,0,0,0,0,0,0,0.655633213225693,0,0,0,0,0,1.57392945564315,0
"CONCOCT_70.faa_13084_pilon_47",0,0,0,0,1.12222683418634,0,0,0.875548598616144,0,1.04636869140424,1.44674410040362,1.68450336557824,0,0,0,0,0,0
"CONCOCT_70.faa_13084_pilon_48",1.8646863788572,0,0,1.7619546913099,0,0,0,0.875548598616144,0,1.04636869140424,2.1544028177173,0,0,0,1.7619546913099,0,0.730355897317133,0
"CONCOCT_70.faa_13084_pilon_50",0.731593298549557,1.09245853766689,0.770303575324523,0,0,0,0,0.875548598616144,0,0,0.655633213225693,0,0,0,0,0,0,0
"CONCOCT_70.faa_13084_pilon_8",0.731593298549557,0,0.770303575324523,0,0,0,1.1525264051669,0,0,0,1.10474890229498,0,0,0,0,2.1544028177173,0.730355897317133,0
"CONCOCT_70.faa_13339_pilon_3",0.731593298549557,0,1.93452200924445,0,0,0,0,0.875548598616144,0,1.64646205452638,2.1544028177173,1.07529208677674,0,1.10474890229498,1.1347378980212,0,2.48885897653151,0
"CONCOCT_70.faa_1413_pilon_1",1.21471157508806,1.70696907814939,0,0,0,0,0,0.875548598616144,0,0,0,1.07529208677674,0,1.72300316566225,0,1.10474890229498,0,0
"CONCOCT_70.faa_1413_pilon_3",1.21471157508806,0,1.64010536378829,0,0,0,0,0,0,0,0.655633213225693,0,0,1.10474890229498,0,0,1.21294070081374,1.10474890229498
"CONCOCT_70.faa_1413_pilon_9",1.21471157508806,0,0,0,0,0,0,0,0,0,1.44674410040362,0,0,0,0,0,0,0
"CONCOCT_70.faa_18200_pilon_1",1.21471157508806,0,0,0,0,0,0,0,0,0,0.655633213225693,0,1.72300316566225,0,0,0,1.21294070081374,0
"CONCOCT_70.faa_20158_pilon_1",0.731593298549557,0,0.770303575324523,0,1.12222683418634,0,0,0,0,0,0,0,1.72300316566225,0,0,0,0,0
"CONCOCT_70.faa_20158_pilon_14",0,0,0,0,1.12222683418634,0,0,0.875548598616144,0,2.06900588891585,0.655633213225693,0,0,0,0,1.10474890229498,1.21294070081374,0
"CONCOCT_70.faa_20158_pilon_5",0,0,0.770303575324523,0,0,0,0,0.875548598616144,0,0,0,0,0,0,0,1.72300316566225,0,1.72300316566225
"CONCOCT_70.faa_21507_pilon_1",1.21471157508806,0,1.93452200924445,0,0,0,0,1.41652157709458,1.12222683418634,1.64646205452638,1.10474890229498,1.07529208677674,0,0,0,0,1.57392945564315,0
"CONCOCT_70.faa_21610_pilon_11",1.21471157508806,0,0.770303575324523,0,0,0,1.7849465143282,0.875548598616144,0,1.04636869140424,1.10474890229498,1.07529208677674,0,0,0,1.10474890229498,0,0
"CONCOCT_70.faa_21610_pilon_12",0,0,0,0,0,1.7619546913099,0,0.875548598616144,0,0,0.655633213225693,1.68450336557824,0,0,0,0,0,0
"CONCOCT_70.faa_21610_pilon_13",1.21471157508806,0,0,0,0,2.53185469541642,0,0.875548598616144,0,1.04636869140424,0,2.44057873898336,0,0,0,0,0,0
"CONCOCT_70.faa_21610_pilon_15",1.8646863788572,0,0.770303575324523,0,0,0,0,1.41652157709458,0,0,0.655633213225693,0,0,0,0,0,0,0
"CONCOCT_70.faa_21610_pilon_16",1.21471157508806,0,0,1.1347378980212,0,0,0,0,0,1.04636869140424,1.72300316566225,0,0,0,0,1.10474890229498,0,0
"CONCOCT_70.faa_21610_pilon_18",0,1.09245853766689,1.93452200924445,0,0,1.1347378980212,0,0,0,1.04636869140424,1.44674410040362,1.07529208677674,0,0,1.1347378980212,0,1.21294070081374,0
"CONCOCT_70.faa_21610_pilon_20",0,0,0.770303575324523,0,0,0,0,0.875548598616144,0,1.04636869140424,1.44674410040362,0,0,0,0,0,0,0
"CONCOCT_70.faa_21610_pilon_22",0,0,2.17891959640784,0,0,0,0,0,0,1.04636869140424,1.44674410040362,1.07529208677674,0,0,0,1.10474890229498,1.57392945564315,0
"CONCOCT_70.faa_21610_pilon_3",0.731593298549557,0,0,1.1347378980212,1.7457339535929,1.7619546913099,0,0.875548598616144,0,1.04636869140424,1.44674410040362,1.07529208677674,0,0,0,0,0.730355897317133,0
"CONCOCT_70.faa_3923_pilon_1",0.731593298549557,0,0,0,0,0,0,1.41652157709458,0,0,1.10474890229498,0,0,0,0,0,0,0
"CONCOCT_70.faa_4185_pilon_102",2.65163154865536,0,2.87787336713636,1.1347378980212,0,0,0,3.3479153144631,0,1.04636869140424,2.48605986539022,2.11151410716895,0,0,1.1347378980212,2.48605986539022,2.10273926680344,1.10474890229498
"CONCOCT_70.faa_4185_pilon_103",0,0,1.64010536378829,1.1347378980212,0,0,0,2.58694093208088,1.7457339535929,1.64646205452638,2.1544028177173,2.11151410716895,0,1.72300316566225,2.80300655516625,2.1544028177173,2.30867827948083,0
"CONCOCT_70.faa_4185_pilon_104",1.21471157508806,0,0.770303575324523,0,0,0,0,0,0,1.04636869140424,1.44674410040362,1.07529208677674,1.10474890229498,0,0,1.72300316566225,1.21294070081374,0
"CONCOCT_70.faa_4185_pilon_105",1.8646863788572,1.09245853766689,3.13124624050585,0,1.12222683418634,1.7619546913099,1.1525264051669,2.58694093208088,0,2.06900588891585,2.1544028177173,2.93411861411928,0,0,1.1347378980212,0,2.30867827948083,0
"CONCOCT_70.faa_4185_pilon_114",0.731593298549557,1.09245853766689,1.26978560385913,0,0,1.7619546913099,0,0,1.7457339535929,0,0.655633213225693,0,0,0,0,0,0,0
"CONCOCT_70.faa_4185_pilon_117",0,0,0,1.7619546913099,0,1.1347378980212,0,2.11730355803818,0,0,1.44674410040362,1.07529208677674,0,0,0,1.10474890229498,0.730355897317133,0
"CONCOCT_70.faa_4185_pilon_119",0,0,0.770303575324523,0,0,0,0,0,0,0,1.10474890229498,1.07529208677674,0,0,0,0,0.730355897317133,0
"CONCOCT_70.faa_4185_pilon_124",0,0,0.770303575324523,0,0,0,0,0,0,2.39541910950953,0,1.07529208677674,0,0,0,0,0,0
"CONCOCT_70.faa_4185_pilon_128",0,0,0,0,0,0,0,0,0,0,1.44674410040362,0,0,0,0,1.72300316566225,0,0
"CONCOCT_70.faa_4185_pilon_13",0,0,0,0,0,0,1.1525264051669,0.875548598616144,0,0,0,0,0,0,0,0,1.57392945564315,0
"CONCOCT_70.faa_4185_pilon_131",1.21471157508806,0,0,0,0,0,0,0,0,1.04636869140424,2.48605986539022,0,0,0,0,1.10474890229498,0,1.10474890229498
"CONCOCT_70.faa_4185_pilon_133",1.57599752834457,0,2.87787336713636,1.1347378980212,0,1.1347378980212,1.1525264051669,0.875548598616144,0,1.04636869140424,1.72300316566225,2.44057873898336,0,0,0,2.48605986539022,1.21294070081374,0
"CONCOCT_70.faa_4185_pilon_134",1.8646863788572,0,2.17891959640784,0,1.12222683418634,0,0,2.94066384393588,0,2.06900588891585,0,1.68450336557824,0,0,0,0,1.86242887219484,0
"CONCOCT_70.faa_4185_pilon_135",0,1.09245853766689,1.26978560385913,0,0,0,0,0,0,1.04636869140424,0,0,0,1.10474890229498,1.1347378980212,0,0,0
"CONCOCT_70.faa_4185_pilon_139",0,0,1.26978560385913,0,0,0,0,0.875548598616144,0,0,0,0,0,0,0,1.72300316566225,0,0
"CONCOCT_70.faa_4185_pilon_14",1.8646863788572,0,0,0,0,0,0,0,0,0,0.655633213225693,0,0,0,0,0,0.730355897317133,0
"CONCOCT_70.faa_4185_pilon_143",6.96773020671605,7.74831455949253,7.33250836920945,5.25055942719359,5.62204923668777,5.25055942719359,4.98074331446737,6.25027009694594,5.22811219915242,7.4216606709644,6.60957196755727,7.73108404118503,6.95554233296638,6.6596885058741,5.42130859562436,5.75296969289938,5.94561810961563,6.15355164206755
"CONCOCT_70.faa_4185_pilon_144",6.7810693303491,7.24417692130381,6.5567816396567,4.8330465982518,4.54595078236474,4.77121512759746,5.41220456726781,5.26909872540115,5.22811219915242,6.4825572539399,6.26567229314516,7.00362577497995,6.03197756902802,5.72185520212926,5.38047827160591,4.65322648035734,5.57871021933111,4.7177322193251
"CONCOCT_70.faa_4185_pilon_148",2.10512806053453,0,1.26978560385913,1.1347378980212,0,1.1347378980212,0,1.41652157709458,0,1.64646205452638,2.1544028177173,2.11151410716895,0,0,0,1.10474890229498,0,0
"CONCOCT_70.faa_4185_pilon_149",0,0,0,0,0,0,1.1525264051669,0,0,0,1.44674410040362,1.07529208677674,0,0,0,2.48605986539022,0.730355897317133,0
"CONCOCT_70.faa_4185_pilon_150",0,1.09245853766689,0,0,0,0,1.1525264051669,0,0,0,0.655633213225693,1.68450336557824,0,0,0,0,1.57392945564315,0
"CONCOCT_70.faa_4185_pilon_154",0,0,0,0,0,0,0,1.41652157709458,1.12222683418634,1.04636869140424,0,1.07529208677674,0,0,1.7619546913099,0,0.730355897317133,0
"CONCOCT_70.faa_4185_pilon_156",0,0,0.770303575324523,0,0,0,0,0,0,1.04636869140424,1.95476809898199,0,0,0,1.1347378980212,0,1.21294070081374,0
"CONCOCT_70.faa_4185_pilon_17",0,0,1.64010536378829,0,0,0,0,0,0,0,0.655633213225693,0,0,0,0,0,0,1.10474890229498
"CONCOCT_70.faa_4185_pilon_18",0,0,0,0,0,0,0,0,0,0,2.32974089066058,1.07529208677674,0,0,0,0,0.730355897317133,0
"CONCOCT_70.faa_4185_pilon_2",1.21471157508806,0,0.770303575324523,1.1347378980212,0,0,0,0,0,0,0.655633213225693,1.07529208677674,0,1.72300316566225,0,0,0,0
"CONCOCT_70.faa_4185_pilon_22",8.48242407352108,9.04935115825352,8.70012633196484,6.71470491401246,6.70819808611439,6.91383087681646,6.96030170806145,7.57979020223623,6.47997477368114,8.74928586230445,7.87036116759146,9.22607560265721,7.92943386881287,7.20092835334557,6.57693244088052,7.29905745447101,7.55082889638782,6.69215774259046
"CONCOCT_70.faa_4185_pilon_24",5.86940394233825,6.63686074077138,5.61420181057119,3.55607130810672,4.74900839756853,4.3314606440548,4.92375212150529,4.6557217824769,4.22128989198066,6.13434648857078,5.88523339623914,6.52020517568308,5.15049603605137,5.10298638391519,3.40139746644358,4.27871565323448,5.41007116976448,5.15049603605137
"CONCOCT_70.faa_4185_pilon_3",0,0,0,0,0,0,0,0,0,1.04636869140424,1.10474890229498,1.07529208677674,0,0,0,0,0.730355897317133,0
"CONCOCT_70.faa_4185_pilon_31",0,2.13655671141647,0,0,0,0,0,1.41652157709458,0,0,0,0,0,0,0,0,0,0
"CONCOCT_70.faa_4185_pilon_33",0,0,0,0,0,0,0,0,0,0,0,2.44057873898336,0,1.10474890229498,0,0,0.730355897317133,0
"CONCOCT_70.faa_4185_pilon_36",1.21471157508806,0,0.770303575324523,0,0,1.1347378980212,0,1.41652157709458,0,0,1.72300316566225,0,0,0,1.1347378980212,0,1.21294070081374,0
"CONCOCT_70.faa_4185_pilon_38",1.21471157508806,0,0,0,0,0,0,0,0,0,1.72300316566225,0,0,0,0,0,0,0
