"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"CONCOCT_24.faa_10033_pilon_2",0,1.87089939284421,1.33143696072138,0,0,0,0,0.983655496179914,0,0,0.830555479393125,1.67436679164598,0,0,0,0.937955894959773,0.602224065645227,0
"CONCOCT_24.faa_10033_pilon_3",1.65563000446098,1.47079029692973,1.33143696072138,2.12109502457652,1.47863822613538,0,0,1.56312841961842,0,3.16639866676219,0.830555479393125,0,1.90949418220159,0.947372157796995,2.91117215375399,0.937955894959773,1.02581551090253,0
"CONCOCT_24.faa_10167_pilon_1",1.44386437504439,0.915229026528866,2.47238277376346,1.41960363254415,2.19336524080574,1.63030176723813,3.99134778461036,1.20369779882522,0,2.44154669535816,0.830555479393125,1.67436679164598,2.2251817987302,1.92032035158633,0,0,2.36301405064338,0
"CONCOCT_24.faa_10167_pilon_2",0,0,1.33143696072138,0,0.92100039081842,0,0,0.72390483822381,0,1.47139309650059,1.35430540613906,0,0.94029797941836,0,0,1.50162957263768,0,0
"CONCOCT_24.faa_10167_pilon_3",0.895491068897384,0,1.33143696072138,0,1.47863822613538,1.03413733020053,1.80076746941569,1.97541327721776,0,0.915672030478992,1.73773428671147,0,0.94029797941836,0,0,2.22133499192799,1.02581551090253,0
"CONCOCT_24.faa_10167_pilon_4",0.516137706609742,0,0.590252939510452,0,0,0,0,0.406888393405291,0,1.47139309650059,0,0,0,0,0,0.937955894959773,1.35285173431243,0
"CONCOCT_24.faa_10167_pilon_5",0,0,0.590252939510452,1.41960363254415,0,1.63030176723813,0,0.406888393405291,0,0,1.35430540613906,0,0,0,1.2044276224666,0.937955894959773,1.61928153882198,3.02609368521748
"CONCOCT_24.faa_10167_pilon_6",0,1.47079029692973,0,0,0,0,0,0.72390483822381,2.40631293435559,0,0,0,0,0,0,0,0,0
"CONCOCT_24.faa_10855_pilon_1",0.895491068897384,2.6588308385484,0.590252939510452,2.12109502457652,0.92100039081842,1.63030176723813,0,0.72390483822381,0,2.44154669535816,3.00096080170292,1.67436679164598,2.2251817987302,2.23677667877963,1.8515657534967,1.90590368561165,0.602224065645227,0
"CONCOCT_24.faa_10855_pilon_2",0.516137706609742,3.16556080319487,2.71383159900411,4.00684379187462,2.19336524080574,4.31193878946034,0,2.0902545230945,0,0.915672030478992,2.85338883656973,1.06756724776242,3.79336983747051,3.48696233773759,4.3622505962514,2.88960652660973,3.21550466637084,0
